original_index,cluster_kmeans,cluster_dbscan,dbscan_ruido,Class
257,2,0,0,0
258,2,0,0,0
259,2,-1,1,0
260,2,-1,1,0
261,2,-1,1,0
262,2,0,0,0
263,2,0,0,0
264,2,-1,1,0
265,2,0,0,0
266,2,0,0,0
267,2,-1,1,0
268,0,-1,1,0
269,0,1,0,0
270,2,3,0,0
271,2,0,0,0
272,2,0,0,0
273,2,0,0,0
274,2,-1,1,0
275,2,-1,1,0
276,2,0,0,0
277,2,0,0,0
278,0,-1,1,0
279,2,0,0,0
280,2,0,0,0
281,2,-1,1,0
282,0,1,0,0
283,2,-1,1,0
284,2,0,0,0
285,2,0,0,0
286,2,-1,1,0
287,2,0,0,0
288,2,0,0,0
289,2,0,0,0
290,2,4,0,0
291,0,1,0,0
292,2,0,0,0
293,2,-1,1,0
294,2,0,0,0
295,2,0,0,0
296,2,0,0,0
297,2,0,0,0
298,2,0,0,0
299,2,-1,1,0
300,2,-1,1,0
301,2,0,0,0
302,2,0,0,0
303,2,0,0,0
304,2,0,0,0
305,2,4,0,0
306,2,-1,1,0
307,2,-1,1,0
308,2,0,0,0
309,2,0,0,0
310,2,0,0,0
311,2,0,0,0
312,2,-1,1,0
313,2,4,0,0
314,2,2,0,0
315,2,0,0,0
316,2,0,0,0
317,0,1,0,0
318,2,0,0,0
319,2,0,0,0
320,2,0,0,0
321,2,-1,1,0
322,2,-1,1,0
323,2,-1,1,0
324,2,0,0,0
325,2,0,0,0
326,2,0,0,0
327,2,-1,1,0
328,0,1,0,0
329,2,-1,1,0
330,2,0,0,0
331,2,0,0,0
332,2,0,0,0
333,2,0,0,0
334,2,0,0,0
335,2,0,0,0
336,2,4,0,0
337,2,-1,1,0
338,2,0,0,0
339,2,0,0,0
340,2,0,0,0
341,2,0,0,0
342,2,0,0,0
343,2,0,0,0
344,2,-1,1,0
345,2,0,0,0
346,2,2,0,0
347,2,0,0,0
348,2,0,0,0
349,2,0,0,0
350,2,0,0,0
351,2,3,0,0
352,2,0,0,0
353,2,0,0,0
354,2,-1,1,0
355,2,-1,1,0
356,2,3,0,0
357,2,0,0,0
358,2,0,0,0
359,5,-1,1,0
360,2,0,0,0
361,2,3,0,0
362,2,0,0,0
363,2,-1,1,0
364,2,0,0,0
365,2,0,0,0
366,2,3,0,0
367,2,0,0,0
368,2,0,0,0
369,2,-1,1,0
370,0,1,0,0
371,2,3,0,0
372,2,0,0,0
373,2,0,0,0
374,2,0,0,0
375,2,0,0,0
376,2,0,0,0
377,0,-1,1,0
378,2,-1,1,0
379,2,0,0,0
380,2,0,0,0
381,2,0,0,0
382,2,0,0,0
383,2,0,0,0
384,2,0,0,0
385,2,-1,1,0
386,2,-1,1,0
387,2,0,0,0
388,2,0,0,0
389,0,-1,1,0
390,2,3,0,0
391,2,0,0,0
392,2,-1,1,0
393,2,-1,1,0
394,2,-1,1,0
395,2,0,0,0
396,2,2,0,0
397,2,0,0,0
398,2,0,0,0
399,2,0,0,0
400,2,0,0,0
401,2,0,0,0
402,2,0,0,0
403,2,0,0,0
404,2,0,0,0
405,2,0,0,0
406,2,0,0,0
407,2,4,0,0
408,2,0,0,0
409,2,0,0,0
410,2,-1,1,0
411,5,0,0,0
412,2,0,0,0
413,2,0,0,0
414,2,0,0,0
415,2,-1,1,0
416,2,0,0,0
417,2,0,0,0
418,2,0,0,0
419,2,0,0,0
420,2,0,0,0
421,0,-1,1,0
422,2,0,0,0
423,2,0,0,0
424,2,0,0,0
425,2,3,0,0
426,2,0,0,0
427,2,0,0,0
428,2,0,0,0
429,2,0,0,0
430,2,0,0,0
431,2,0,0,0
432,2,4,0,0
433,2,0,0,0
434,2,4,0,0
435,2,0,0,0
436,2,0,0,0
437,2,0,0,0
438,2,-1,1,0
439,2,0,0,0
440,2,0,0,0
441,2,3,0,0
442,2,0,0,0
443,2,-1,1,0
444,2,0,0,0
445,2,0,0,0
446,2,0,0,0
447,2,0,0,0
448,2,-1,1,0
449,2,-1,1,0
450,2,-1,1,0
451,5,-1,1,0
452,2,0,0,0
453,2,-1,1,0
454,2,2,0,0
455,2,3,0,0
456,2,0,0,0
457,0,-1,1,0
458,2,0,0,0
459,2,0,0,0
460,2,0,0,0
461,2,-1,1,0
462,2,2,0,0
463,2,0,0,0
464,5,0,0,0
465,2,-1,1,0
466,2,0,0,0
467,2,0,0,0
468,2,0,0,0
469,2,0,0,0
470,2,0,0,0
471,2,4,0,0
472,2,0,0,0
473,2,0,0,0
474,2,0,0,0
475,2,0,0,0
476,2,0,0,0
477,2,0,0,0
478,2,0,0,0
479,0,5,0,0
480,2,0,0,0
481,2,0,0,0
482,2,0,0,0
483,2,0,0,0
484,2,0,0,0
485,2,0,0,0
486,2,-1,1,0
487,2,0,0,0
488,0,-1,1,0
489,2,0,0,0
490,2,0,0,0
491,2,0,0,0
492,2,0,0,0
493,2,0,0,0
494,2,0,0,0
495,2,0,0,0
496,2,0,0,0
497,2,4,0,0
498,2,0,0,0
499,2,0,0,0
500,2,0,0,0
501,2,0,0,0
502,2,0,0,0
503,2,0,0,0
504,2,0,0,0
505,2,4,0,0
506,3,-1,1,0
507,2,0,0,0
508,2,0,0,0
509,2,0,0,0
510,2,-1,1,0
511,2,-1,1,0
512,2,3,0,0
513,2,0,0,0
514,2,0,0,0
515,2,0,0,0
516,2,0,0,0
517,2,-1,1,0
518,2,0,0,0
519,2,3,0,0
520,2,0,0,0
521,2,-1,1,0
522,2,-1,1,0
523,0,1,0,0
524,2,0,0,0
525,2,0,0,0
526,2,-1,1,0
527,2,0,0,0
528,2,2,0,0
529,2,0,0,0
530,2,0,0,0
531,5,-1,1,0
532,2,0,0,0
533,2,0,0,0
534,2,-1,1,1
535,2,-1,1,0
536,2,0,0,0
537,2,-1,1,0
538,2,0,0,0
539,2,3,0,0
540,2,0,0,0
541,2,0,0,0
542,2,0,0,0
543,0,-1,1,0
544,2,-1,1,0
545,2,0,0,0
546,2,0,0,0
547,2,0,0,0
548,2,0,0,0
549,2,-1,1,0
550,2,0,0,0
551,2,0,0,0
552,2,-1,1,0
553,0,1,0,0
554,2,0,0,0
555,2,0,0,0
556,2,0,0,0
557,2,-1,1,0
558,2,0,0,0
559,2,0,0,0
560,2,0,0,0
561,2,-1,1,0
562,2,0,0,0
563,2,0,0,0
564,2,0,0,0
565,2,0,0,0
566,2,0,0,0
567,2,0,0,0
568,2,-1,1,0
569,2,0,0,0
570,2,4,0,0
571,2,-1,1,0
572,2,-1,1,0
573,2,0,0,0
574,2,0,0,0
575,2,0,0,0
576,2,0,0,0
577,2,2,0,0
578,2,0,0,0
579,2,0,0,0
580,2,0,0,0
581,0,1,0,0
582,2,-1,1,0
583,2,0,0,0
584,2,0,0,0
585,2,0,0,0
586,2,0,0,0
587,2,0,0,0
588,2,3,0,0
589,2,0,0,0
590,2,0,0,0
591,2,3,0,0
592,2,4,0,0
593,2,0,0,0
594,2,-1,1,0
595,2,0,0,0
596,2,0,0,0
597,2,0,0,0
598,0,1,0,0
599,5,0,0,0
600,2,0,0,0
601,2,-1,1,0
602,2,0,0,0
603,2,-1,1,0
604,2,0,0,0
605,2,0,0,0
606,2,-1,1,0
607,2,3,0,0
608,2,0,0,0
609,2,0,0,0
610,2,0,0,0
611,2,3,0,0
612,2,-1,1,0
613,2,4,0,0
614,2,0,0,0
615,2,0,0,0
616,2,-1,1,1
617,2,0,0,0
618,2,0,0,0
619,2,0,0,0
620,2,0,0,0
621,2,0,0,0
622,2,-1,1,0
623,2,-1,1,0
624,5,0,0,0
625,2,-1,1,0
626,3,-1,1,0
627,2,0,0,0
628,2,0,0,0
629,2,0,0,0
630,2,-1,1,0
631,2,0,0,0
632,2,0,0,0
633,2,0,0,0
634,2,-1,1,0
635,2,0,0,0
636,5,0,0,0
637,2,0,0,0
638,2,0,0,0
639,0,1,0,0
640,2,0,0,0
641,2,0,0,0
642,2,0,0,0
643,2,0,0,0
644,2,-1,1,0
645,2,0,0,0
646,2,0,0,0
647,2,-1,1,0
648,2,3,0,0
649,2,0,0,0
650,2,0,0,0
651,2,0,0,0
652,2,-1,1,0
653,2,0,0,0
654,2,4,0,0
655,2,-1,1,0
656,2,0,0,0
657,2,-1,1,0
658,2,-1,1,0
659,2,-1,1,0
660,2,0,0,0
661,2,0,0,0
662,2,0,0,0
663,2,2,0,0
664,2,0,0,0
665,2,0,0,0
666,2,-1,1,0
667,2,0,0,0
668,2,0,0,0
669,2,0,0,0
670,2,0,0,0
671,2,0,0,0
672,2,0,0,0
673,5,-1,1,0
674,2,-1,1,0
675,2,0,0,0
676,2,0,0,0
677,2,0,0,0
678,2,0,0,0
679,2,0,0,0
680,2,0,0,0
681,5,0,0,0
682,2,4,0,0
683,2,0,0,0
684,5,0,0,0
685,2,0,0,0
686,2,0,0,0
687,2,0,0,0
688,2,0,0,0
689,2,0,0,0
690,2,4,0,0
691,2,0,0,0
692,2,-1,1,0
693,2,0,0,0
694,2,0,0,0
695,2,0,0,0
696,2,2,0,0
697,2,0,0,0
698,2,0,0,0
699,2,-1,1,0
700,2,-1,1,0
701,0,1,0,0
702,2,0,0,0
703,2,4,0,0
704,2,0,0,0
705,2,4,0,0
706,2,0,0,0
707,2,-1,1,0
708,2,0,0,0
709,2,0,0,0
710,2,0,0,0
711,2,-1,1,0
712,2,0,0,0
713,2,0,0,0
714,2,0,0,0
715,2,0,0,0
716,2,-1,1,0
717,2,4,0,0
718,2,-1,1,0
719,2,4,0,0
720,2,-1,1,0
721,2,0,0,0
722,2,0,0,0
723,5,-1,1,0
724,2,-1,1,0
725,2,3,0,0
726,2,0,0,0
727,2,-1,1,0
728,2,0,0,0
729,3,-1,1,0
730,2,0,0,0
731,2,-1,1,0
732,2,-1,1,0
733,2,-1,1,0
734,2,0,0,0
735,2,0,0,0
736,2,4,0,0
737,2,-1,1,0
738,2,0,0,0
739,2,0,0,0
740,2,3,0,0
741,2,-1,1,0
742,2,0,0,0
743,2,0,0,0
744,2,2,0,0
745,2,0,0,0
746,2,0,0,0
747,0,-1,1,0
748,2,0,0,0
749,0,1,0,0
750,2,0,0,0
751,2,0,0,0
752,2,0,0,0
753,2,-1,1,0
754,2,0,0,0
755,0,6,0,0
756,2,0,0,0
757,2,-1,1,0
758,2,0,0,0
759,2,0,0,0
760,2,0,0,0
761,2,3,0,0
762,2,0,0,0
763,2,0,0,0
764,2,0,0,0
765,2,3,0,0
766,2,4,0,0
767,2,-1,1,0
768,2,0,0,0
769,0,1,0,0
770,2,2,0,0
771,2,0,0,0
772,2,0,0,0
773,2,-1,1,0
774,2,4,0,0
775,2,-1,1,0
776,0,1,0,0
777,2,0,0,0
778,2,-1,1,0
779,2,0,0,0
780,2,0,0,0
781,5,-1,1,0
782,2,0,0,0
783,2,0,0,0
784,2,-1,1,0
785,2,0,0,0
786,2,0,0,0
787,2,-1,1,0
788,2,-1,1,0
789,2,-1,1,0
790,2,0,0,0
791,2,-1,1,0
792,2,0,0,0
793,2,2,0,0
794,2,0,0,0
795,2,-1,1,0
796,2,0,0,0
797,2,0,0,0
798,2,0,0,0
799,2,0,0,0
800,2,-1,1,0
801,2,0,0,0
802,2,0,0,0
803,2,3,0,0
804,2,-1,1,0
805,0,1,0,0
806,2,-1,1,0
807,2,0,0,0
808,2,0,0,0
809,0,-1,1,0
810,2,0,0,0
811,2,0,0,0
812,2,0,0,0
813,2,0,0,0
814,2,0,0,0
815,2,0,0,0
816,2,-1,1,0
817,2,0,0,0
818,2,-1,1,0
819,2,0,0,0
820,2,-1,1,0
821,2,-1,1,0
822,2,0,0,0
823,2,4,0,0
824,2,0,0,0
825,2,0,0,0
826,2,-1,1,0
827,2,0,0,0
828,2,0,0,0
829,2,0,0,0
830,2,-1,1,0
831,2,-1,1,0
832,2,3,0,0
833,2,0,0,0
834,2,-1,1,0
835,2,-1,1,0
836,2,-1,1,0
837,2,4,0,0
838,2,-1,1,0
839,2,0,0,0
840,2,3,0,0
841,2,-1,1,0
842,2,0,0,0
843,2,0,0,0
844,2,0,0,0
845,2,-1,1,0
846,2,0,0,0
847,0,1,0,0
848,2,0,0,0
849,2,0,0,0
850,2,0,0,0
851,2,0,0,0
852,2,0,0,0
853,2,-1,1,0
854,2,0,0,0
855,2,-1,1,0
856,2,0,0,0
857,2,0,0,0
858,3,-1,1,0
859,2,0,0,0
860,2,0,0,0
861,2,-1,1,0
862,2,-1,1,0
863,2,0,0,0
864,2,0,0,0
865,2,0,0,0
866,2,0,0,0
867,2,0,0,0
868,2,0,0,0
869,2,-1,1,0
870,2,4,0,0
871,2,0,0,0
872,2,0,0,0
873,2,0,0,0
874,0,1,0,0
875,2,-1,1,0
876,2,-1,1,0
877,2,-1,1,0
878,2,0,0,0
879,2,-1,1,0
880,2,0,0,0
881,2,-1,1,0
882,2,0,0,0
883,2,0,0,0
884,0,1,0,0
885,2,0,0,0
886,0,1,0,0
887,2,0,0,0
888,2,0,0,0
889,2,0,0,0
890,2,-1,1,0
891,2,4,0,0
892,2,0,0,0
893,2,-1,1,0
894,2,0,0,0
895,2,0,0,0
896,2,0,0,0
897,2,0,0,0
898,2,0,0,0
899,2,0,0,0
900,2,0,0,0
901,2,0,0,0
902,2,3,0,0
903,2,0,0,0
904,2,0,0,0
905,2,0,0,0
906,2,0,0,0
907,2,3,0,0
908,2,0,0,0
909,2,0,0,0
910,2,-1,1,0
911,2,0,0,0
912,2,0,0,0
913,2,0,0,0
914,2,0,0,0
915,2,0,0,0
916,2,0,0,0
917,2,0,0,0
918,2,-1,1,0
919,0,-1,1,0
920,2,0,0,0
921,2,0,0,0
922,2,0,0,0
923,2,0,0,0
924,0,1,0,0
925,2,0,0,0
926,2,-1,1,0
927,2,0,0,0
928,2,4,0,0
929,2,0,0,0
930,0,1,0,0
931,2,0,0,0
932,2,0,0,0
933,2,0,0,0
934,2,0,0,0
935,2,0,0,0
936,2,0,0,0
937,2,-1,1,0
938,2,-1,1,0
939,2,0,0,0
940,2,0,0,0
941,2,4,0,0
942,0,-1,1,0
943,2,3,0,0
944,2,0,0,0
945,2,-1,1,0
946,2,0,0,0
947,2,-1,1,0
948,2,4,0,0
949,2,2,0,0
950,2,-1,1,0
951,2,-1,1,0
952,2,0,0,0
953,0,1,0,0
954,2,0,0,0
955,2,-1,1,0
956,2,0,0,0
957,2,-1,1,0
958,2,0,0,0
959,2,0,0,0
960,2,0,0,0
961,2,0,0,0
962,2,0,0,0
963,2,-1,1,0
964,2,-1,1,0
965,2,2,0,0
966,2,-1,1,0
967,2,4,0,0
968,2,0,0,0
969,2,0,0,0
970,2,2,0,0
971,2,0,0,0
972,0,-1,1,0
973,2,0,0,0
974,2,0,0,0
975,2,0,0,0
976,2,0,0,0
977,2,-1,1,0
978,2,0,0,0
979,2,-1,1,0
980,2,0,0,0
981,2,3,0,0
982,2,0,0,0
983,2,0,0,0
984,2,0,0,0
985,2,-1,1,0
986,2,0,0,0
987,2,0,0,0
988,2,-1,1,0
989,2,0,0,0
990,2,-1,1,0
991,0,5,0,0
992,2,-1,1,0
993,2,0,0,0
994,2,0,0,0
995,2,0,0,0
996,2,0,0,0
997,2,0,0,0
998,2,-1,1,0
999,2,0,0,0
1000,2,0,0,0
1001,2,0,0,0
1002,2,-1,1,0
1003,2,4,0,0
1004,2,4,0,0
1005,2,0,0,0
1006,2,0,0,0
1007,2,0,0,0
1008,2,0,0,0
1009,2,3,0,0
1010,5,0,0,0
1011,2,0,0,0
1012,2,0,0,0
1013,2,0,0,0
1014,2,0,0,0
1015,2,-1,1,0
1016,2,0,0,0
1017,2,0,0,0
1018,2,0,0,0
1019,0,-1,1,0
1020,3,-1,1,0
1021,0,1,0,0
1022,2,0,0,0
1023,2,-1,1,0
1024,2,0,0,0
1025,2,-1,1,0
1026,2,-1,1,0
1027,2,-1,1,0
1028,2,2,0,0
1029,2,0,0,0
1030,2,0,0,0
1031,2,-1,1,0
1032,2,0,0,0
1033,2,0,0,0
1034,0,1,0,0
1035,2,0,0,0
1036,2,0,0,0
1037,2,-1,1,0
1038,2,0,0,0
1039,2,0,0,0
1040,2,-1,1,0
1041,2,0,0,0
1042,2,0,0,0
1043,0,-1,1,0
1044,2,0,0,0
1045,2,0,0,0
1046,2,0,0,0
1047,2,0,0,0
1048,2,0,0,0
1049,2,0,0,0
1050,2,0,0,0
1051,2,-1,1,0
1052,0,1,0,0
1053,2,0,0,0
1054,2,0,0,0
1055,2,0,0,0
1056,2,0,0,0
1057,2,-1,1,0
1058,2,0,0,0
1059,2,2,0,0
1060,2,0,0,0
1061,2,-1,1,0
1062,2,0,0,0
1063,2,0,0,0
1064,2,0,0,0
1065,2,0,0,0
1066,2,0,0,0
1067,2,3,0,0
1068,2,0,0,0
1069,2,0,0,0
1070,2,-1,1,0
1071,2,-1,1,0
1072,2,3,0,0
1073,2,0,0,0
1074,2,0,0,0
1075,2,0,0,0
1076,2,0,0,0
1077,2,0,0,0
1078,2,0,0,0
1079,5,-1,1,0
1080,2,3,0,0
1081,2,-1,1,0
1082,2,0,0,0
1083,2,0,0,0
1084,2,0,0,0
1085,2,-1,1,0
1086,2,0,0,0
1087,2,0,0,0
1088,2,0,0,0
1089,2,3,0,0
1090,2,0,0,0
1091,2,0,0,0
1092,2,0,0,0
1093,2,0,0,0
1094,2,0,0,0
1095,2,0,0,0
1096,2,0,0,0
1097,2,0,0,0
1098,2,0,0,0
1099,2,0,0,0
1100,2,-1,1,0
1101,2,4,0,0
1102,2,4,0,0
1103,2,0,0,0
1104,2,0,0,0
1105,2,0,0,0
1106,2,-1,1,0
1107,2,-1,1,0
1108,2,0,0,0
1109,2,0,0,0
1110,2,0,0,0
1111,2,-1,1,0
1112,2,4,0,0
1113,2,-1,1,0
1114,2,0,0,0
1115,2,0,0,0
1116,2,0,0,0
1117,2,0,0,0
1118,2,0,0,0
1119,2,0,0,0
1120,2,0,0,0
1121,2,-1,1,0
1122,2,0,0,0
1123,2,0,0,0
1124,2,-1,1,0
1125,2,0,0,0
1126,2,0,0,0
1127,2,0,0,0
1128,2,-1,1,0
1129,2,0,0,0
1130,2,0,0,0
1131,2,0,0,0
1132,2,0,0,0
1133,2,0,0,0
1134,2,0,0,0
1135,2,-1,1,0
1136,2,0,0,0
1137,2,0,0,0
1138,2,0,0,0
1139,2,0,0,0
1140,2,0,0,0
1141,2,0,0,0
1142,2,0,0,0
1143,2,-1,1,0
1144,2,0,0,0
1145,2,0,0,0
1146,2,2,0,0
1147,2,-1,1,0
1148,2,0,0,0
1149,2,0,0,0
1150,2,4,0,0
1151,2,-1,1,0
1152,2,0,0,0
1153,2,0,0,0
1154,2,0,0,0
1155,2,0,0,0
1156,2,0,0,0
1157,0,1,0,0
1158,2,-1,1,0
1159,2,0,0,0
1160,2,-1,1,0
1161,2,0,0,0
1162,0,1,0,0
1163,2,0,0,0
1164,2,0,0,0
1165,2,0,0,0
1166,2,0,0,0
1167,2,0,0,0
1168,2,4,0,0
1169,2,0,0,0
1170,2,0,0,0
1171,2,0,0,0
1172,2,0,0,0
1173,2,-1,1,0
1174,2,0,0,0
1175,0,-1,1,0
1176,2,-1,1,0
1177,2,0,0,0
1178,2,0,0,0
1179,2,-1,1,0
1180,2,-1,1,0
1181,2,0,0,0
1182,2,0,0,0
1183,0,-1,1,0
1184,2,0,0,0
1185,2,0,0,0
1186,2,4,0,0
1187,2,0,0,0
1188,2,0,0,0
1189,2,0,0,0
1190,2,0,0,0
1191,2,0,0,0
1192,2,0,0,0
1193,2,4,0,0
1194,2,0,0,0
1195,2,-1,1,0
1196,2,0,0,0
1197,2,0,0,0
1198,2,0,0,0
1199,2,3,0,0
1200,2,0,0,0
1201,2,0,0,0
1202,2,0,0,0
1203,2,0,0,0
1204,2,0,0,0
1205,2,0,0,0
1206,2,0,0,0
1207,2,0,0,0
1208,2,0,0,0
1209,2,2,0,0
1210,2,-1,1,0
1211,2,-1,1,0
1212,2,0,0,0
1213,2,-1,1,0
1214,2,-1,1,0
1215,2,-1,1,0
1216,2,0,0,0
1217,2,0,0,0
1218,2,0,0,0
1219,2,0,0,0
1220,2,0,0,0
1221,2,0,0,0
1222,2,0,0,0
1223,2,0,0,0
1224,2,0,0,0
1225,2,0,0,0
1226,0,1,0,0
1227,2,0,0,0
1228,2,0,0,0
1229,2,0,0,0
1230,2,4,0,0
1231,2,-1,1,0
1232,2,-1,1,0
1233,2,0,0,0
1234,2,0,0,0
1235,2,0,0,0
1236,2,0,0,0
1237,2,0,0,0
1238,2,0,0,0
1239,2,0,0,0
1240,2,0,0,0
1241,2,0,0,0
1242,2,0,0,0
1243,2,0,0,0
1244,2,0,0,0
1245,2,0,0,0
1246,2,0,0,0
1247,2,0,0,0
1248,2,0,0,0
1249,2,-1,1,0
1250,2,0,0,0
1251,2,0,0,0
1252,2,4,0,0
1253,2,0,0,0
1254,2,0,0,0
1255,2,-1,1,0
1256,2,0,0,0
1257,2,0,0,0
1258,2,4,0,0
1259,2,0,0,0
1260,2,0,0,0
1261,2,0,0,0
1262,2,0,0,0
1263,2,-1,1,0
1264,2,0,0,0
1265,2,-1,1,0
1266,2,-1,1,0
1267,2,0,0,0
1268,2,0,0,0
1269,2,-1,1,0
1270,2,0,0,0
1271,2,0,0,0
1272,3,-1,1,0
1273,2,0,0,0
1274,2,-1,1,0
1275,2,0,0,0
1276,2,0,0,0
1277,2,0,0,0
1278,2,-1,1,0
1279,2,0,0,0
1280,2,0,0,0
1281,2,0,0,0
1282,2,0,0,0
1283,2,0,0,0
1284,2,0,0,0
1285,2,-1,1,0
1286,2,0,0,0
1287,2,0,0,0
1288,5,-1,1,0
1289,2,3,0,0
1290,2,3,0,0
1291,2,0,0,0
1292,2,0,0,0
1293,2,0,0,0
1294,2,-1,1,0
1295,2,0,0,0
1296,2,0,0,0
1297,2,-1,1,0
1298,2,-1,1,0
1299,2,0,0,0
1300,2,0,0,0
1301,2,-1,1,0
1302,2,0,0,0
1303,2,0,0,0
1304,2,-1,1,0
1305,2,-1,1,0
1306,2,0,0,0
1307,2,0,0,0
1308,0,1,0,0
1309,2,4,0,0
1310,0,1,0,0
1311,2,0,0,0
1312,2,0,0,0
1313,2,-1,1,0
1314,2,0,0,0
1315,2,0,0,0
1316,2,-1,1,0
1317,2,0,0,0
1318,2,-1,1,0
1319,2,-1,1,0
1320,2,0,0,0
1321,2,0,0,0
1322,2,0,0,0
1323,2,0,0,0
1324,2,0,0,0
1325,2,-1,1,0
1326,2,0,0,0
1327,2,0,0,0
